,,,,,,,,,,,,,,,,,,,,,,Area:- 243.84 Sq.km
ward_num,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward Office Name,ward_name,वॉर्डचे  नाांव
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,
85,3132,15688,7779,7909,3973,1893,2080,48,24,24,11902,6228,5674,3786,1551,2235,1661,852,809,Bhavanipeth,Mahatma Phule Smark (Samata Bhumi),महात्मा  फ¸ ल`  स्मारक  (समता  भूमी)
86,3671,18598,9128,9470,4719,2220,2499,134,74,60,13482,6984,6498,5116,2144,2972,2403,1211,1192,Bhavanipeth,Lohianagar,लोटहया  नगर
87,2808,14636,7402,7234,2074,1033,1041,57,30,27,11015,5810,5205,3621,1592,2029,1843,945,898,Bhavanipeth,Ekbote Colony,एकबो `    कॉलनी
88,3499,18491,9256,9235,7899,3860,4039,21,11,10,13312,7152,6160,5179,2104,3075,2373,1208,1165,Bhavanipeth,Gurunanak Nagar,ग¸रूनानक  नगर
89,5924,23689,11938,11751,1748,886,862,205,103,102,20712,10572,10140,2977,1366,1611,2168,1140,1028,Hadapsar,Wawadi Gaon,िानिडी  गाि
90,4455,20519,10519,10000,9153,4612,4541,252,130,122,14146,7816,6330,6373,2703,3670,2749,1470,1279,Hadapsar,Ramtekdi,राम `कडी
91,5403,22367,11652,10715,2098,1081,1017,115,65,50,18052,9677,8375,4315,1975,2340,2577,1394,1183,Hadapsar,Hadapsar Gaon,हडपसर  गाि
92,5013,20509,10573,9936,2476,1292,1184,108,56,52,16361,8672,7689,4148,1901,2247,2400,1283,1117,Hadapsar,Glayding Center,ग्लायडडांग  स र
93,7007,28638,15208,13430,3044,1591,1453,477,300,177,23569,12847,10722,5069,2361,2708,3251,1784,1467,Hadapsar,Sadhana Vidhylaya,साधना  विद्यालय
94,5324,21840,11428,10412,2011,1052,959,146,74,72,18192,9710,8482,3648,1718,1930,2596,1376,1220,Hadapsar,Satavwadi,सातििाडी
95,11096,44802,23620,21182,5432,2814,2618,596,304,292,35066,18965,16101,9736,4655,5081,6276,3361,2915,Hadapsar,Kaleborate Nagar,काळ`बरा `  नगर
96,9982,44269,23099,21170,4927,2565,2362,508,275,233,32093,17450,14643,12176,5649,6527,6596,3426,3170,Hadapsar,Mahamodwadi,महांमदिाडी
97,7336,28491,14397,14094,2222,1134,1088,331,184,147,24133,12329,11804,4358,2068,2290,2507,1310,1197,Bibvewadi,Mahadji Shinde Chatri,महादज  मशांद`  छत्री
98,3993,18311,9186,9125,4658,2282,2376,240,126,114,13832,7215,6617,4479,1971,2508,1920,986,934,Sahakarnagar,Salasbari Park,सॅलसबरी  पाकक
99,4071,18474,9223,9251,2959,1481,1478,193,94,99,13559,7117,6442,4915,2106,2809,2150,1072,1078,Sahakarnagar,Tilak Maharashtra Vidhyapeeth,ट ळक  महारा्ि  विद्यापीठ
100,4390,20279,10189,10090,2679,1301,1378,289,131,158,16661,8529,8132,3618,1660,1958,1755,930,825,Sahakarnagar,Parvati Darshan,पिकती  दशकन
101,3966,16389,8532,7857,1342,664,678,180,101,79,12402,6837,5565,3987,1695,2292,1824,928,896,Tilakroad,Parvatigaon,पिकती  गाि
102,3390,14725,7461,7264,7678,3865,3813,146,78,68,10573,5683,4890,4152,1778,2374,1651,851,800,Tilakroad,Paravati Jal kendra,पिकती  जलकेंद्र
103,3736,16730,8523,8207,4252,2126,2126,150,72,78,12698,6721,5977,4032,1802,2230,1783,960,823,Tilakroad,Dandekar Pul-Dattawadi,दाड`कर  पूल  -दत्तिाडी
104,5940,23399,11873,11526,3641,1810,1831,153,82,71,19087,9822,9265,4312,2051,2261,2062,1104,958,Tilakroad,Pu.La.Deshpande Udhyan,प¸.ल.द`शपाड`  उद्यान
105,4680,17854,8556,9298,424,198,226,80,37,43,15658,7553,8105,2196,1003,1193,1129,574,555,Warje,Mejor Thathwade Udhyan,मजर  ताथिड`  उद्यान
106,5529,19993,9856,10137,962,492,470,90,40,50,17255,8505,8750,2738,1351,1387,1533,791,742,Warje,Kothrud Gaon,कोथरूड  गाि
107,4772,18668,9537,9131,1397,735,662,324,174,150,14636,7714,6922,4032,1823,2209,1742,904,838,Warje,Happy Colony,हॅपी  कॉलनी
108,3485,12827,6441,6386,1633,844,789,119,75,44,9751,4954,4797,3076,1487,1589,1258,664,594,Warje,Dahanukar Colony,डहानूकर  कॉलनी
109,8936,35401,18565,16836,2139,1134,1005,308,164,144,29002,15559,13443,6399,3006,3393,3998,2129,1869,Warje,Warje Jal Shudhikaran Prakalpa,िारज`  जल  श¸ध्दीकरर्  िकल्प
110,9933,38951,20877,18074,2716,1421,1295,470,254,216,30096,16682,13414,8855,4195,4660,5252,2762,2490,Warje,Popularnagar Warje,पॉप्य¸लर  नगर  िारज`
111,6126,26155,14013,12142,5535,2894,2641,790,391,399,18420,10545,7875,7735,3468,4267,3561,1893,1668,Warje,Warje  Malwadi,िारज`  माळिाडी
112,5913,24492,12862,11630,1257,646,611,283,141,142,20596,11036,9560,3896,1826,2070,2343,1244,1099,Warje,Maharshi karve Nagar,महषी  किे  नगर
113,5061,21971,10627,11344,884,404,480,194,82,112,18744,9154,9590,3227,1473,1754,2007,1073,934,Warje,Higne Steri Shikshan Sanstha,टहांगर्`  स्त्री  मशक्षर्  सस्था
114,4281,17964,9497,8467,3104,1616,1488,368,203,165,13139,7313,5826,4825,2184,2641,2104,1130,974,Tilakroad,Janta Vasahat,जनता  िसाहत
115,3974,16330,8071,8259,2487,1169,1318,93,47,46,13609,6880,6729,2721,1191,1530,1452,747,705,Sahakarnagar,Shau Collage,शाहू  कॉल`ज
116,3400,15033,7519,7514,2013,969,1044,158,69,89,12301,6325,5976,2732,1194,1538,1445,736,709,Sahakarnagar,Parvati Industrial Estate,पिकती  इांडस्स्ियल  इस् ` 
117,3624,16021,7961,8060,553,289,264,54,20,34,14179,7042,7137,1842,919,923,1202,651,551,Sahakarnagar,Maharshi Nagar,महषी  नगर
118,4078,18923,9624,9299,6987,3519,3468,89,44,45,12719,6966,5753,6204,2658,3546,2316,1203,1113,Sahakarnagar,Chatrapati Shivaji Marketyard,छत्रपती  मशिाजी  माके याडक
119,4992,22201,11354,10847,1700,876,824,219,117,102,18769,9683,9086,3432,1671,1761,2090,1091,999,Sahakarnagar,D.A.D Colony,डी.ए.डी  कॉलनी
120,5898,25014,12896,12118,2221,1162,1059,246,128,118,19171,10262,8909,5843,2634,3209,3167,1667,1500,Bibvewadi,Kondhva Khurd,कोंढिा  ख¸दक
121,9022,34937,17372,17565,3516,1762,1754,293,162,131,29103,14502,14601,5834,2870,2964,3605,1833,1772,Bibvewadi,N.I.B.M,एन.आय.बी.एम
122,10258,49363,25670,23693,1782,916,866,197,103,94,36921,19661,17260,12442,6009,6433,7352,3799,3553,Bibvewadi,Mithanagar,ममठानगर
123,5875,24791,12677,12114,1770,890,880,209,111,98,20302,10424,9878,4489,2253,2236,2497,1330,1167,Bibvewadi,Bibvewadi,बबबििाडी
124,4675,20316,10220,10096,2611,1271,1340,145,74,71,16807,8694,8113,3509,1526,1983,1947,965,982,Sahakarnagar,Shankar Maharaj Math,शकर  महाराज  मठ
125,4922,20700,10397,10303,3931,1958,1973,156,79,77,17597,8998,8599,3103,1399,1704,1750,906,844,Sahakarnagar,Padmavati -Areneshwar,पदमािती  अरर्`श्िर
126,4236,18853,9442,9411,9210,4665,4545,46,19,27,14339,7548,6791,4514,1894,2620,1925,1009,916,Sahakarnagar,Taljai Mandir,तळजाइक  मदीर
127,6661,25783,13124,12659,1582,794,788,177,99,78,21382,11004,10378,4401,2120,2281,2663,1364,1299,Tilakroad,Anandnagar -Higne Khurd,आनदनगर  टहांगर्`  ख¸दक
128,9454,36080,18409,17671,1219,630,589,232,121,111,30673,15599,15074,5407,2810,2597,3787,1976,1811,Tilakroad,Vitthalwadi,विठ्ठल  िाडी
129,11329,44678,23651,21027,3461,1814,1647,452,241,211,35632,19144,16488,9046,4507,4539,5559,2966,2593,Tilakroad,Vadgaon Dhayari,िडगाि  धायरी
130,6418,25876,13601,12275,1717,900,817,203,96,107,20548,10934,9614,5328,2667,2661,3286,1758,1528,Tilakroad,Vadgaon Budruk,िडगाि  ब¸द्र¸क
131,5212,20666,10790,9876,1881,987,894,200,112,88,16611,8937,7674,4055,1853,2202,2220,1139,1081,Tilakroad,Manikbaug,माणर्कबाग
132,6145,26685,13836,12849,4387,2242,2145,314,175,139,21069,11200,9869,5616,2636,2980,2981,1623,1358,Dhankawadi,Chavannagar,चव्हार्नगर
133,5711,23888,12745,11143,2578,1343,1235,361,189,172,18524,10139,8385,5364,2606,2758,3128,1672,1456,Dhankawadi,Dhankawadi Ambegaon Pathar,धनकिडी  आबगाि  पठार
134,5953,25148,13034,12114,1783,904,879,161,81,80,20984,10997,9987,4164,2037,2127,2570,1387,1183,Dhankawadi,Dhankawadi Gaon,धनकिडी  गाि
135,3765,15030,7757,7273,1107,573,534,95,45,50,13113,6784,6329,1917,973,944,1335,729,606,Dhankawadi,Chaitanya Nagar Dhankawadi,चȰत्  न्य  नगर  धनकिडी
136,4808,19916,10335,9581,1023,504,519,50,29,21,17031,8894,8137,2885,1441,1444,1830,998,832,Dhankawadi,Balajinagar,बालाजीनगर
137,7464,31390,16204,15186,5237,2678,2559,255,147,108,24033,12906,11127,7357,3298,4059,3860,1999,1861,Bibvewadi,Sukhsagarnagar,स¸खसागरनगर
138,4064,16457,8418,8039,1389,708,681,113,55,58,14051,7322,6729,2406,1096,1310,1522,822,700,Bibvewadi,Vishwakarma Institute (Bibvewadi),िविश्िकमाक  इस्न्स्  य¸   (बबबि`िाडी)
139,7860,35527,18605,16922,11068,5675,5393,443,241,202,24065,13503,10562,11462,5102,6360,5297,2763,2534,Bibvewadi,Upper Indiranagar Bibvewadi,अप्पर  इांदीरा  नगर  बबबि`िाडी
